Carrera;IdCampus;Sexo;CicloIngreso;InstitucionBach_Encoded;TieneBeca;PorcentajeBeca_Promedio;MateriasInscritas_C1;MateriasAprobadas_C1;MateriasReprobadas_C1;TasaAprobacion_C1;PromedioCiclo_C1;MateriasInscritas_C2;MateriasAprobadas_C2;MateriasReprobadas_C2;TasaAprobacion_C2;PromedioCiclo_C2;TotalMateriasInscritas_Anio1;TotalMateriasAprobadas_Anio1;TotalMateriasReprobadas_Anio1;TasaAprobacion_Anio1;PromedioGeneral_Anio1;Deserto
2017-104;1;102301;01-2022;0.16667;0;NULL;3;0;3;0;1.08;3;0;3;0;0;6;0;6;0;0.54;0
2017-109;1;102301;01-2022;0.09351;0;NULL;4;1;1;0.25;3.46;4;0;4;0;1.22;8;1;5;0.125;2.34;1
2019-409;1;102302;01-2022;0.10101;0;NULL;5;2;3;0.4;4.99;3;1;2;0.3333;4.61;8;3;5;0.375;4.8;0
2013-207;1;102302;01-2022;0.05675;0;NULL;5;4;1;0.8;7.52;5;4;1;0.8;7.42;10;8;2;0.8;7.47;0
2016-301;1;102302;01-2022;0.04762;0;NULL;5;5;0;1;7.83;5;4;0;0.8;6.57;10;9;0;0.9;7.2;0
2017-104;1;102301;01-2022;0.17448;0;NULL;3;2;0;0.6667;6.21;4;0;0;0;0;7;2;0;0.2857;3.1;0
2021-413;1;102302;01-2022;0.15873;0;NULL;4;4;0;1;8.52;4;3;1;0.75;7.36;8;7;1;0.875;7.94;0
2018-206;1;102302;01-2022;0.06250;0;NULL;3;2;0;0.6667;4.88;2;2;0;1;7.51;5;4;0;0.8;6.2;0
2017-105;1;102301;01-2022;0.25000;0;NULL;4;2;0;0.5;4.48;4;0;0;0;0;8;2;0;0.25;2.24;1
2019-409;1;102302;01-2022;0.06557;0;NULL;5;4;1;0.8;7.85;5;4;1;0.8;6.82;10;8;2;0.8;7.34;0
2018-206;1;102301;01-2022;0.14173;0;NULL;3;2;0;0.6667;4.6;4;0;0;0;0;7;2;0;0.2857;2.3;1
2019-209;1;102302;01-2022;0.14173;0;NULL;5;5;0;1;8.82;4;4;0;1;8.75;9;9;0;1;8.79;0
2018-206;1;102302;01-2022;0.16667;0;NULL;3;3;0;1;9.12;3;3;0;1;8.56;6;6;0;1;8.84;0
2016-301;1;102302;01-2022;0.10101;0;NULL;5;5;0;1;8.26;5;2;2;0.4;4.12;10;7;2;0.7;6.19;0
2016-302;1;102302;01-2022;0.16176;0;NULL;4;4;0;1;7.91;5;4;1;0.8;7.7;9;8;1;0.8889;7.8;0
2019-701;1;102301;01-2022;0.19960;0;NULL;5;3;1;0.6;5.57;3;1;2;0.3333;5.85;8;4;3;0.5;5.71;0
2017-104;1;102301;01-2022;0.15385;0;NULL;4;2;1;0.5;4.42;3;1;1;0.3333;3.07;7;3;2;0.4286;3.74;0
2018-206;1;102302;01-2022;0.11111;0;NULL;3;3;0;1;7.5;2;1;1;0.5;4.94;5;4;1;0.8;6.22;1
2013-207;1;102301;01-2022;0.11111;1;50;4;4;0;1;9.23;4;4;0;1;9.01;8;8;0;1;9.12;0
2016-301;1;102301;01-2022;0.07692;0;NULL;5;3;2;0.6;6.39;3;3;0;1;8.52;8;6;2;0.75;7.46;0
2023-404;1;102301;01-2023;0.05675;0;NULL;6;5;0;0.8333;6.84;5;5;0;1;8.1;11;10;0;0.9091;7.47;0
2022-702;1;102301;01-2023;0.10101;0;NULL;4;3;0;0.75;6.36;4;3;1;0.75;6.59;8;6;1;0.75;6.48;0
2022-109;1;102301;01-2023;0.08000;0;NULL;4;4;0;1;9.11;4;4;0;1;8.08;8;8;0;1;8.59;0
2023-104;1;102301;01-2023;0.08000;0;NULL;4;4;0;1;9.35;4;4;0;1;9.04;8;8;0;1;9.19;0
2022-702;1;102301;01-2023;0.11765;0;NULL;4;3;1;0.75;6.83;5;2;1;0.4;4.01;9;5;2;0.5556;5.42;0
2022-105;1;102302;01-2023;0.09091;0;NULL;4;4;0;1;8.31;5;3;0;0.6;4.54;9;7;0;0.7778;6.43;0
2023-104;1;102301;01-2023;0.00000;1;100;4;3;1;0.75;8.11;4;4;0;1;7.39;8;7;1;0.875;7.75;0
2019-209;1;102302;01-2023;0.15675;0;NULL;5;5;0;1;8.54;5;5;0;1;8.79;10;10;0;1;8.67;0
2019-211;1;102302;01-2023;0.10000;0;NULL;5;4;1;0.8;7.25;5;5;0;1;7.73;10;9;1;0.9;7.49;0
2021-202;1;102302;01-2023;0.05675;0;NULL;4;4;0;1;8.43;5;5;0;1;8.5;9;9;0;1;8.46;0
2022-109;1;102301;01-2023;0.11765;0;NULL;4;1;2;0.25;4.66;4;3;0;0.75;6.25;8;4;2;0.5;5.45;0
2021-413;1;102302;01-2023;0.10000;1;50;4;4;0;1;8.55;5;5;0;1;8.52;9;9;0;1;8.53;0
2023-305;1;102302;01-2023;0.10753;0;NULL;4;0;0;0;0;5;5;0;1;8.73;9;5;0;0.5556;4.36;0
2023-303;1;102302;01-2023;0.14634;0;NULL;4;4;0;1;8.62;4;3;1;0.75;8.01;8;7;1;0.875;8.31;0
2018-206;1;102302;01-2023;0.13636;0;NULL;3;3;0;1;8.22;2;2;0;1;6.64;5;5;0;1;7.43;0
2023-305;1;102302;01-2023;0.02158;0;NULL;5;5;0;1;8.77;4;4;0;1;8.64;9;9;0;1;8.7;0
2022-416;1;102302;01-2023;0.04762;0;NULL;5;5;0;1;8.11;3;3;0;1;8.64;8;8;0;1;8.38;0
2018-219;1;102302;01-2023;0.11515;0;NULL;3;3;0;1;9.38;4;4;0;1;9.49;7;7;0;1;9.43;0
2023-104;1;102301;01-2023;0.09091;0;NULL;4;1;2;0.25;3.84;3;0;0;0;0;7;1;2;0.1429;1.92;0
2023-303;1;102301;01-2023;0.10101;0;NULL;4;2;2;0.5;5.57;2;2;0;1;7.49;6;4;2;0.6667;6.53;0
2023-104;1;102301;01-2023;0.05675;0;NULL;4;1;1;0.25;2.82;3;1;0;0.3333;2.36;7;2;1;0.2857;2.59;0
2018-206;1;102302;01-2023;0.18175;0;NULL;3;3;0;1;8.28;2;2;0;1;8.94;5;5;0;1;8.61;0
2022-208;1;102301;01-2023;0.09524;0;NULL;4;4;0;1;8.44;3;2;1;0.6667;5.6;7;6;1;0.8571;7.02;0
2023-104;1;102301;01-2023;0.09735;0;NULL;5;1;1;0.2;2.58;3;0;3;0;0;8;1;4;0.125;1.29;0
2018-219;1;102302;01-2023;0.07407;0;NULL;3;3;0;1;8.97;3;3;0;1;9.07;6;6;0;1;9.02;0
2023-404;1;102302;01-2023;0.03571;0;NULL;6;5;0;0.8333;6.46;5;5;0;1;7.58;11;10;0;0.9091;7.02;0
2023-401;1;102302;01-2023;0.05675;1;100;4;4;0;1;7.89;4;2;2;0.5;5.4;8;6;2;0.75;6.65;0
2021-413;1;102301;01-2023;0.07407;0;NULL;4;4;0;1;8.44;3;3;0;1;7.57;7;7;0;1;8;0
2022-102;1;102301;01-2023;0.15873;0;NULL;3;1;0;0.3333;2.23;2;0;0;0;0;5;1;0;0.2;1.12;1
2018-444;1;102301;01-2023;0.17448;0;NULL;6;6;0;1;8.09;5;5;0;1;9.19;11;11;0;1;8.64;0
2024-701;1;102301;01-2024;0.04000;0;NULL;5;4;0;0.8;6.43;5;4;0;0.8;6.55;10;8;0;0.8;6.49;0
2024-104;1;102302;01-2024;0.14815;0;NULL;5;3;0;0.6;5.39;4;3;1;0.75;7.04;9;6;1;0.6667;6.22;0
2024-105;1;102302;01-2024;0.09351;0;NULL;4;2;1;0.5;5.27;3;3;0;1;6.38;7;5;1;0.7143;5.82;0
2024-404;1;102301;01-2024;0.28571;0;NULL;6;5;0;0.8333;7.33;3;3;0;1;9.44;9;8;0;0.8889;8.38;0
2024-202;1;102302;01-2024;0.11515;0;NULL;5;5;0;1;8.63;5;5;0;1;8.51;10;10;0;1;8.57;0
2024-104;1;102301;01-2024;0.06250;0;NULL;6;3;1;0.5;3.79;3;3;0;1;6.93;9;6;1;0.6667;5.36;0
2024-106;1;102302;01-2024;0.09259;0;NULL;4;2;0;0.5;4.83;2;1;0;0.5;3.28;6;3;0;0.5;4.05;0
2024-701;1;102301;01-2024;0.18175;0;NULL;5;5;0;1;7.63;6;5;0;0.8333;6.76;11;10;0;0.9091;7.19;0
2024-206;1;102302;01-2024;0.14634;0;NULL;3;3;0;1;8.23;3;3;0;1;7.68;6;6;0;1;7.95;0
2024-202;1;102301;01-2024;0.10714;0;NULL;5;5;0;1;8.81;5;5;0;1;7.88;10;10;0;1;8.35;0
2024-409;1;102301;01-2024;0.05063;0;NULL;5;2;1;0.4;4.18;5;0;5;0;1.26;10;2;6;0.2;2.72;1
2024-206;1;102302;01-2024;0.06557;0;NULL;3;3;0;1;8.68;3;3;0;1;9.66;6;6;0;1;9.17;0
2024-702;1;102301;01-2024;0.11515;0;NULL;7;7;0;1;7.84;3;1;0;0.3333;3;10;8;0;0.8;5.42;0
2024-206;1;102302;01-2024;0.17857;0;NULL;3;2;1;0.6667;7.45;2;1;0;0.5;3.72;5;3;1;0.6;5.59;0
2024-219;1;102302;01-2024;0.07407;0;NULL;3;3;0;1;7.52;4;4;0;1;7.89;7;7;0;1;7.7;0
2024-701;1;102301;01-2024;0.19608;0;NULL;5;3;2;0.6;7.45;4;3;0;0.75;6.14;9;6;2;0.6667;6.8;0
2024-416;1;102302;01-2024;0.11515;0;NULL;3;3;0;1;9.48;4;4;0;1;9.02;7;7;0;1;9.25;0
2024-206;1;102302;01-2024;0.03571;0;NULL;3;3;0;1;8.66;3;3;0;1;7.88;6;6;0;1;8.27;0
2024-109;1;102301;01-2024;0.17448;0;NULL;4;2;1;0.5;5.06;4;2;0;0.5;3.37;8;4;1;0.5;4.22;1
2024-105;1;102301;01-2024;0.05675;0;NULL;5;3;2;0.6;6.08;3;1;1;0.3333;3.47;8;4;3;0.5;4.78;0
2024-206;1;102302;01-2024;0.18750;0;NULL;3;3;0;1;7.44;3;2;1;0.6667;7.4;6;5;1;0.8333;7.42;0
2024-209;1;102302;01-2024;0.05675;0;NULL;5;4;1;0.8;7.53;5;5;0;1;8.19;10;9;1;0.9;7.86;0
2024-206;1;102302;01-2024;0.05675;0;NULL;3;2;1;0.6667;7.1;2;2;0;1;8.16;5;4;1;0.8;7.63;0
2024-701;1;102301;01-2024;0.10101;0;NULL;5;4;1;0.8;7.3;5;2;1;0.4;4.78;10;6;2;0.6;6.04;0
2024-219;1;102302;01-2024;0.09091;0;NULL;3;3;0;1;8.95;4;4;0;1;8;7;7;0;1;8.47;0
2024-305;1;102302;01-2024;0.07778;0;NULL;5;5;0;1;8.53;5;3;1;0.6;5.55;10;8;1;0.8;7.04;0
2024-206;1;102302;01-2024;0.07407;0;NULL;3;3;0;1;8.16;3;3;0;1;8.84;6;6;0;1;8.5;0
2024-303;1;102301;01-2024;0.07407;0;NULL;5;5;0;1;7.9;5;4;0;0.8;6.46;10;9;0;0.9;7.18;1
2024-104;1;102301;01-2024;0.16667;0;NULL;4;2;0;0.5;4.72;5;5;0;1;6.97;9;7;0;0.7778;5.85;0
2024-103;1;102301;01-2024;0.05675;0;NULL;3;1;1;0.3333;4.17;5;0;0;0;0;8;1;1;0.125;2.09;0
2016-301;1;102302;01-2020;0.04762;0;NULL;6;3;0;0.5;3.66;5;4;1;0.8;7.62;11;7;1;0.6364;5.64;0
2016-303;1;102302;01-2020;0.07407;0;NULL;4;3;0;0.75;5.84;4;4;0;1;7.82;8;7;0;0.875;6.83;0
2016-301;1;102301;01-2021;0.11230;0;NULL;5;5;0;1;8.78;4;4;0;1;8.36;9;9;0;1;8.57;0
2018-444;1;102301;01-2021;0.17448;0;NULL;6;6;0;1;9.09;5;5;0;1;8.48;11;11;0;1;8.79;1
2018-444;1;102301;01-2021;0.17448;0;NULL;6;6;0;1;9.1;5;5;0;1;8.52;11;11;0;1;8.81;1
2019-403;1;102301;01-2022;0.11925;0;NULL;5;5;0;1;7.78;5;0;5;0;2.11;10;5;5;0.5;4.94;1
2017-105;1;102302;01-2022;0.05675;0;NULL;4;2;2;0.5;5.39;3;1;1;0.3333;4.51;7;3;3;0.4286;4.95;0
2022-109;1;102302;01-2023;0.00000;1;100;4;3;1;0.75;7.2;4;2;1;0.5;5.52;8;5;2;0.625;6.36;0
2019-211;1;102302;01-2023;0.00000;0;NULL;5;5;0;1;8.23;5;5;0;1;8.58;10;10;0;1;8.41;0
2023-303;1;102302;01-2023;0.05063;0;NULL;4;4;0;1;8.45;4;3;0;0.75;7.09;8;7;0;0.875;7.77;0
2023-104;1;102301;01-2023;0.10101;0;NULL;4;2;1;0.5;5.91;4;2;1;0.5;5.17;8;4;2;0.5;5.54;0
2024-209;1;102301;01-2024;0.09735;0;NULL;5;5;0;1;7.19;5;3;2;0.6;5.72;10;8;2;0.8;6.45;0
2024-104;1;102301;01-2024;0.09351;0;NULL;5;5;0;1;8.2;4;4;0;1;7.89;9;9;0;1;8.05;0
2024-104;1;102301;01-2024;0.06329;0;NULL;5;2;0;0.4;3.02;4;2;1;0.5;5.64;9;4;1;0.4444;4.33;0
2024-106;1;102302;01-2024;0.14634;0;NULL;4;2;1;0.5;5.97;3;1;2;0.3333;4.95;7;3;3;0.4286;5.46;0
2016-302;1;102302;01-2020;0.14634;0;NULL;5;5;0;1;8.38;5;4;0;0.8;6.23;10;9;0;0.9;7.3;0
2018-206;1;102302;01-2020;0.10000;0;NULL;3;3;0;1;8.85;3;3;0;1;8.72;6;6;0;1;8.78;0
2017-103;1;102301;01-2020;0.23377;0;NULL;4;3;0;0.75;5.92;4;4;0;1;6.57;8;7;0;0.875;6.25;0
2019-409;1;102302;01-2020;0.22727;0;NULL;5;5;0;1;8.56;4;4;0;1;8.57;9;9;0;1;8.56;0
2017-105;1;102302;01-2021;0.09091;0;NULL;4;4;0;1;7.96;3;1;0;0.3333;2.44;7;5;0;0.7143;5.2;0
2018-219;1;102302;01-2021;0.11515;0;NULL;3;3;0;1;9.56;3;3;0;1;9.46;6;6;0;1;9.51;0
2016-301;1;102302;01-2021;0.16667;0;NULL;3;3;0;1;7.76;4;3;0;0.75;5.4;7;6;0;0.8571;6.58;0
2017-105;1;102301;01-2022;0.06897;1;50;4;3;1;0.75;7.51;4;0;0;0;0;8;3;1;0.375;3.76;0
2016-301;1;102302;01-2022;0.26667;0;NULL;5;5;0;1;9.02;5;5;0;1;8.37;10;10;0;1;8.7;0
2018-219;1;102301;01-2022;0.30675;0;NULL;2;2;0;1;7.78;3;3;0;1;8.52;5;5;0;1;8.15;0
2019-701;1;102301;01-2022;0.12000;0;NULL;5;4;0;0.8;6.77;6;4;2;0.6667;7.31;11;8;2;0.7273;7.04;0
2013-207;1;102302;01-2022;0.05675;0;NULL;5;5;0;1;9.24;5;5;0;1;8.88;10;10;0;1;9.06;0
2022-109;1;102301;01-2023;0.18175;0;NULL;4;3;1;0.75;7.17;4;1;3;0.25;3.39;8;4;4;0.5;5.28;1
2018-444;1;102301;01-2023;0.17448;0;NULL;6;6;0;1;8.01;5;5;0;1;8.8;11;11;0;1;8.4;0
2024-105;1;102302;01-2024;0.09351;0;NULL;4;2;1;0.5;5.18;3;0;3;0;3.81;7;2;4;0.2857;4.49;0
2024-215;1;102301;01-2024;0.04762;0;NULL;5;5;0;1;7.63;5;4;0;0.8;6.98;10;9;0;0.9;7.31;0
2024-305;1;102302;01-2024;0.09259;0;NULL;4;4;0;1;9.31;4;4;0;1;7.87;8;8;0;1;8.59;0
2024-215;1;102301;01-2024;0.14008;0;NULL;5;4;1;0.8;6.13;5;2;3;0.4;3.14;10;6;4;0.6;4.64;0
2024-301;1;102302;01-2024;0.05675;0;NULL;4;4;0;1;7.52;4;3;0;0.75;5.82;8;7;0;0.875;6.67;0
2024-413;1;102301;01-2024;0.15385;0;NULL;5;5;0;1;8.82;5;5;0;1;8.41;10;10;0;1;8.62;0
2024-104;1;102301;01-2024;0.14815;0;NULL;3;2;0;0.6667;5.2;3;2;0;0.6667;6.11;6;4;0;0.6667;5.66;0
2018-219;1;102302;01-2020;0.23377;0;NULL;3;3;0;1;8.27;3;3;0;1;8.08;6;6;0;1;8.17;0
2018-206;1;102302;01-2020;0.10714;1;50;3;3;0;1;8.09;2;2;0;1;8.54;5;5;0;1;8.31;0
2019-404;1;102301;01-2020;0.05675;0;NULL;5;4;0;0.8;6.6;4;4;0;1;8.83;9;8;0;0.8889;7.72;0
2019-211;1;102302;01-2020;0.12817;0;NULL;5;5;0;1;8.2;4;4;0;1;9.16;9;9;0;1;8.68;0
2014-702;1;102301;01-2020;0.12817;0;NULL;5;5;0;1;7.56;5;4;1;0.8;7.76;10;9;1;0.9;7.66;0
2016-302;1;102302;01-2020;0.14173;0;NULL;5;5;0;1;8.81;4;3;1;0.75;7.61;9;8;1;0.8889;8.21;0
2017-109;1;102301;01-2020;0.06250;0;NULL;4;4;0;1;7.85;5;5;0;1;7.48;9;9;0;1;7.67;0
2017-105;1;102301;01-2020;0.22341;0;NULL;5;3;2;0.6;6.4;4;1;2;0.25;3.51;9;4;4;0.4444;4.95;0
2017-104;1;102302;01-2020;0.05714;0;NULL;4;4;0;1;7.96;4;3;1;0.75;6.93;8;7;1;0.875;7.44;0
2016-302;1;102302;01-2020;0.09524;0;NULL;4;4;0;1;8.47;5;4;1;0.8;7.85;9;8;1;0.8889;8.16;0
2016-301;1;102302;01-2020;0.04202;0;NULL;5;5;0;1;8.3;4;4;0;1;8.5;9;9;0;1;8.4;0
2019-211;1;102302;01-2020;0.11801;0;NULL;5;5;0;1;8.3;5;5;0;1;9.05;10;10;0;1;8.68;1
2019-701;1;102301;01-2020;0.05675;0;NULL;5;4;0;0.8;6.35;5;4;1;0.8;7.38;10;8;1;0.8;6.86;0
2009-444;1;102301;01-2020;0.17448;0;NULL;7;7;0;1;9.21;5;5;0;1;9.36;12;12;0;1;9.29;0
2009-444;1;102301;01-2020;0.17448;0;NULL;7;7;0;1;9.07;5;5;0;1;9.06;12;12;0;1;9.07;0
2014-702;1;102301;01-2021;0.09091;0;NULL;5;3;0;0.6;5.18;3;2;0;0.6667;4.9;8;5;0;0.625;5.04;0
2018-206;1;102302;01-2021;0.10753;0;NULL;3;3;0;1;8.73;2;2;0;1;8.69;5;5;0;1;8.71;0
2019-211;1;102301;01-2021;0.06897;0;NULL;5;5;0;1;8.5;4;4;0;1;9.23;9;9;0;1;8.86;0
2014-702;1;102301;01-2021;0.11765;0;NULL;5;2;1;0.4;4.5;5;0;0;0;0.92;10;2;1;0.2;2.71;1
2018-219;1;102301;01-2021;0.11801;0;NULL;3;3;0;1;8.94;2;2;0;1;8.91;5;5;0;1;8.92;0
2014-802;1;102301;01-2021;0.07692;0;NULL;5;4;1;0.8;6.63;5;3;2;0.6;6.7;10;7;3;0.7;6.67;0
2021-202;1;102302;01-2021;0.16667;0;NULL;5;5;0;1;8.6;3;3;0;1;8.22;8;8;0;1;8.41;0
2021-202;1;102301;01-2021;0.10753;0;NULL;4;1;3;0.25;3.91;4;4;0;1;6.96;8;5;3;0.625;5.44;0
2017-101;1;102301;01-2021;0.11515;0;NULL;4;3;0;0.75;5.75;4;0;4;0;1.71;8;3;4;0.375;3.73;1
2014-702;1;102301;01-2021;0.05675;0;NULL;5;1;4;0.2;3.46;3;0;3;0;2.32;8;1;7;0.125;2.89;0
2018-206;1;102302;01-2021;0.10753;0;NULL;3;3;0;1;7.41;2;2;0;1;7.62;5;5;0;1;7.51;0
2013-207;1;102302;01-2021;0.11111;0;NULL;7;7;0;1;8.04;5;5;0;1;8.79;12;12;0;1;8.42;0
2016-302;1;102301;01-2021;0.04202;0;NULL;4;4;0;1;8.41;4;4;0;1;7.99;8;8;0;1;8.2;0
2018-441;1;102301;01-2021;0.17448;0;NULL;6;6;0;1;8.57;5;5;0;1;8.76;11;11;0;1;8.66;0
2018-444;1;102301;01-2021;0.17448;0;NULL;6;6;0;1;8.81;5;5;0;1;7.79;11;11;0;1;8.3;0
2018-444;1;102301;01-2021;0.17448;0;NULL;6;6;0;1;8.96;5;5;0;1;8.84;11;11;0;1;8.9;1
2019-211;1;102302;01-2022;0.09351;0;NULL;5;5;0;1;8.43;5;5;0;1;8.39;10;10;0;1;8.41;0
2017-102;1;102301;01-2022;0.05063;0;NULL;4;3;0;0.75;6.01;4;2;2;0.5;6.22;8;5;2;0.625;6.11;0
2017-104;1;102301;01-2022;0.20000;0;NULL;5;2;1;0.4;3.71;4;0;4;0;2.08;9;2;5;0.2222;2.89;0
2019-402;1;102301;01-2022;0.11765;0;NULL;5;2;2;0.4;4.92;4;2;0;0.5;3.61;9;4;2;0.4444;4.26;0
2017-104;1;102301;01-2022;0.05675;0;NULL;4;4;0;1;8.95;5;5;0;1;8.1;9;9;0;1;8.52;0
2021-413;1;102301;01-2022;0.11515;0;NULL;5;5;0;1;8.16;5;5;0;1;8.56;10;10;0;1;8.36;0
2019-402;1;102301;01-2022;0.07407;0;NULL;4;3;0;0.75;6.09;4;3;0;0.75;6.06;8;6;0;0.75;6.08;0
2017-103;1;102301;01-2022;0.17448;0;NULL;4;2;0;0.5;4.24;4;1;1;0.25;3.18;8;3;1;0.375;3.71;0
2021-202;1;102301;01-2022;0.08333;0;NULL;5;5;0;1;9.13;5;5;0;1;7.47;10;10;0;1;8.3;0
2019-402;1;102301;01-2022;0.04762;0;NULL;4;2;1;0.5;4.44;2;1;1;0.5;5.87;6;3;2;0.5;5.15;0
2018-444;1;102301;01-2022;0.17448;0;NULL;6;5;1;0.8333;6.85;3;3;0;1;6.73;9;8;1;0.8889;6.79;0
2022-102;1;102301;01-2023;0.05675;0;NULL;3;1;1;0.3333;4.69;4;1;1;0.25;3.12;7;2;2;0.2857;3.9;0
2022-109;1;102302;01-2023;0.09351;0;NULL;4;4;0;1;8.79;5;5;0;1;7.93;9;9;0;1;8.36;0
2022-702;1;102301;01-2023;0.12817;0;NULL;5;1;3;0.2;3.98;3;3;0;1;8.69;8;4;3;0.5;6.34;0
2022-103;1;102301;01-2023;0.17448;0;NULL;4;2;2;0.5;5.66;2;0;1;0;2.39;6;2;3;0.3333;4.02;0
2022-702;1;102301;01-2023;0.09351;0;NULL;4;1;1;0.25;3.28;3;2;0;0.6667;4.69;7;3;1;0.4286;3.99;0
2019-211;1;102301;01-2023;0.10714;0;NULL;5;5;0;1;8.68;4;4;0;1;8.69;9;9;0;1;8.68;0
2022-102;1;102301;01-2023;0.16176;0;NULL;6;2;0;0.3333;2.41;3;1;0;0.3333;2.92;9;3;0;0.3333;2.66;0
2023-305;1;102301;01-2023;0.11801;0;NULL;4;4;0;1;7.29;4;3;0;0.75;6.21;8;7;0;0.875;6.75;0
2019-209;1;102302;01-2023;0.09259;0;NULL;5;5;0;1;8.86;5;4;0;0.8;6.35;10;9;0;0.9;7.6;0
2023-305;1;102302;01-2023;0.05675;0;NULL;5;5;0;1;7.73;4;4;0;1;7.66;9;9;0;1;7.7;0
2022-208;1;102301;01-2023;0.55675;0;NULL;2;2;0;1;8.55;2;2;0;1;8.32;4;4;0;1;8.43;1
2024-106;1;102302;01-2024;0.07407;0;NULL;4;4;0;1;7.84;4;2;1;0.5;4.73;8;6;1;0.75;6.28;0
2024-104;1;102301;01-2024;0.00000;0;NULL;4;2;0;0.5;3.68;4;2;2;0.5;6.04;8;4;2;0.5;4.86;0
2024-105;1;102301;01-2024;0.06250;0;NULL;4;4;0;1;8.72;4;4;0;1;7.62;8;8;0;1;8.17;0
2024-404;1;102301;01-2024;0.08602;0;NULL;6;5;0;0.8333;7.57;3;3;0;1;8.96;9;8;0;0.8889;8.26;0
2024-206;1;102301;01-2024;0.08602;0;NULL;3;3;0;1;9.46;3;3;0;1;9.67;6;6;0;1;9.56;0
2024-305;1;102301;01-2024;0.17448;0;NULL;5;5;0;1;8.73;5;3;0;0.6;4.91;10;8;0;0.8;6.82;0
2024-102;1;102301;01-2024;0.11765;0;NULL;4;1;0;0.25;2.03;5;2;1;0.4;3.4;9;3;1;0.3333;2.71;1
2024-304;1;102302;01-2024;0.10000;0;NULL;4;4;0;1;8.42;4;4;0;1;8.11;8;8;0;1;8.27;0
2024-215;1;102302;01-2024;0.06557;0;NULL;5;4;1;0.8;7.12;5;3;1;0.6;5.96;10;7;2;0.7;6.54;0
2024-303;1;102302;01-2024;0.05675;0;NULL;5;3;2;0.6;5.6;4;0;4;0;3.19;9;3;6;0.3333;4.39;0
2024-106;1;102301;01-2024;0.00000;0;NULL;4;1;2;0.25;3.67;3;0;3;0;1.6;7;1;5;0.1429;2.63;0
2024-104;1;102302;01-2024;0.05714;0;NULL;4;3;0;0.75;6.18;5;4;0;0.8;6.51;9;7;0;0.7778;6.35;0
2018-441;1;102301;01-2024;0.17448;0;NULL;6;6;0;1;7.97;6;6;0;1;8.43;12;12;0;1;8.2;0
2018-441;1;102301;01-2024;0.17448;0;NULL;6;6;0;1;7.68;6;6;0;1;7.56;12;12;0;1;7.62;0
2024-208;1;102301;01-2024;0.05675;0;NULL;4;4;0;1;7.44;4;4;0;1;7.4;8;8;0;1;7.42;0
2016-302;1;102302;01-2020;0.07778;0;NULL;4;4;0;1;8.48;5;4;0;0.8;6.99;9;8;0;0.8889;7.73;0
2016-203;1;102301;01-2020;0.05675;0;NULL;4;4;0;1;7.96;4;4;0;1;8.38;8;8;0;1;8.17;0
2017-109;1;102301;01-2021;0.06897;0;NULL;4;2;1;0.5;5.41;4;2;2;0.5;5.78;8;4;3;0.5;5.59;0
2019-209;1;102302;01-2021;0.04762;0;NULL;5;5;0;1;8.02;4;3;1;0.75;6.28;9;8;1;0.8889;7.15;0
2021-413;1;102302;01-2021;0.05128;1;75;5;5;0;1;9.26;4;4;0;1;9.29;9;9;0;1;9.28;0
2014-702;1;102301;01-2021;0.05675;0;NULL;5;1;4;0.2;3.44;2;0;2;0;1;7;1;6;0.1429;2.22;0
2016-301;1;102301;01-2021;0.11801;0;NULL;5;5;0;1;7.56;5;4;1;0.8;7.37;10;9;1;0.9;7.47;0
2019-701;1;102301;01-2021;0.17308;0;NULL;5;4;0;0.8;6.04;5;3;2;0.6;6.58;10;7;2;0.7;6.31;0
2021-413;1;102302;01-2022;0.06329;0;NULL;5;5;0;1;8.29;5;5;0;1;8.67;10;10;0;1;8.48;0
2016-302;1;102302;01-2022;0.18519;0;NULL;4;4;0;1;8.32;4;2;0;0.5;3.74;8;6;0;0.75;6.03;0
2024-109;1;102302;01-2024;0.11801;0;NULL;4;3;0;0.75;6.42;4;2;1;0.5;4.74;8;5;1;0.625;5.58;0
2024-301;1;102302;01-2024;0.04762;0;NULL;4;3;1;0.75;7.2;5;4;0;0.8;6;9;7;1;0.7778;6.6;0
2016-303;1;102302;01-2020;0.09735;0;NULL;6;6;0;1;8.92;6;6;0;1;8.5;12;12;0;1;8.71;0
2017-104;1;102302;01-2020;0.09351;1;50;5;5;0;1;9.23;5;5;0;1;9.3;10;10;0;1;9.27;0
2017-109;1;102301;01-2020;0.07692;0;NULL;4;4;0;1;8.57;5;4;0;0.8;6.46;9;8;0;0.8889;7.51;0
2017-105;1;102301;01-2020;0.09091;0;NULL;4;4;0;1;7.73;4;3;1;0.75;7.36;8;7;1;0.875;7.55;0
2017-109;1;102302;01-2020;0.06250;0;NULL;4;4;0;1;8.64;5;5;0;1;8.36;9;9;0;1;8.5;0
2017-109;1;102301;01-2020;0.00000;0;NULL;5;5;0;1;8.96;5;3;0;0.6;4.78;10;8;0;0.8;6.87;0
2019-211;1;102302;01-2020;0.04202;0;NULL;6;6;0;1;8.15;5;5;0;1;8.13;11;11;0;1;8.14;0
2019-211;1;102302;01-2020;0.05675;0;NULL;5;5;0;1;8.78;4;4;0;1;9.58;9;9;0;1;9.18;0
